stock_id,stock_name,Open,High,Low,Close,rsi_6,odds
1453,大將,19.5,21.45,19.15,21.45,91.61,0.81
4804,大略-KY,21.0,23.1,21.55,23.1,98.06,0.46
4171,瑞基,156.5,164.0,150.5,159.5,83.51,0.65
4133,亞諾法,71.7,72.8,65.4,66.5,35.46,0.2
2743,山富,59.6,62.5,57.0,57.7,81.05,0.35
6242,立康,72.0,73.9,64.8,64.8,100.0,0.45
3434,哲固,33.2,36.5,33.5,36.5,96.61,0.91
8409,商之器,29.4,30.2,26.65,26.65,73.54,0.26
3011,今皓,24.1,24.3,23.0,23.15,57.55,0.34
6291,沛亨,67.5,69.7,66.8,68.4,84.13,0.68
1605,華新,43.8,46.0,42.5,43.95,100.0,0.44
5603,陸海,52.4,54.2,52.3,52.4,32.43,0.41
3708,上緯投控,132.0,145.0,134.0,145.0,92.11,0.88
4736,泰博,278.5,283.0,260.0,270.0,56.03,0.43
6508,惠光,54.1,55.2,49.25,51.0,44.4,0.26
8087,華鎂鑫,45.0,46.0,43.5,44.9,96.4,0.59
1760,寶齡富錦,142.0,144.0,130.0,137.5,70.87,0.37
3558,神準,175.5,178.5,170.0,173.5,40.19,0.46
4127,天良,18.45,20.25,18.5,19.2,100.0,0.41
8176,智捷,12.6,12.9,11.8,11.9,82.05,0.15
6236,康呈,16.5,16.5,16.5,16.5,92.86,0.63
4121,優盛,28.7,30.0,27.1,28.3,79.67,0.36
6470,宇智,55.7,60.5,56.2,58.8,91.53,0.57
1732,毛寶,49.85,51.5,44.9,44.9,41.88,0.13
1708,東鹼,61.3,62.8,57.7,59.9,34.8,0.38
3664,安瑞-KY,9.68,10.6,9.98,10.6,86.18,0.79
9802,鈺齊-KY,149.0,152.0,147.5,151.5,90.91,0.84
6598,ABC-KY,45.9,46.95,41.35,42.5,38.88,0.55
4106,雃博,38.0,38.7,34.2,34.3,79.17,0.42
1258,其祥-KY,26.2,26.8,25.0,25.25,68.14,0.3
1584,精剛,24.35,25.35,23.3,23.35,83.54,0.5
6655,科定,116.5,117.5,116.0,116.5,85.71,0.3
6241,易通展,38.45,39.7,37.1,38.3,47.96,0.32
5009,榮剛,33.35,34.6,30.55,31.55,83.9,0.53
8905,裕國,26.7,29.35,27.65,29.35,93.04,0.79
6578,達邦蛋白,21.25,21.45,20.1,20.3,48.53,0.44
6199,天品,22.8,23.1,20.8,20.9,93.98,0.21
1220,台榮,22.6,23.4,20.55,20.6,79.44,0.17
6806,森崴能源,119.0,124.5,116.0,122.0,100.0,0.76
1219,福壽,26.15,26.95,24.3,24.45,70.71,0.13
1418,東華,17.95,19.7,16.25,19.0,95.0,0.57
8183,精星,63.6,69.4,63.7,68.0,26.36,0.61
6581,鋼聯,108.0,110.5,104.0,106.5,83.08,0.38
9958,世紀鋼,127.5,138.0,128.5,133.5,94.12,0.67
8069,元太,169.5,175.5,170.0,175.0,60.78,0.67
3224,三顧,58.5,61.9,58.2,61.0,100.0,0.84
8114,振樺電,120.0,122.5,119.0,120.5,78.05,0.21
4173,久裕,21.1,22.05,19.7,21.3,98.7,0.64
8050,廣積,48.7,49.95,47.9,49.05,52.56,0.51
