stock_id,eps
1101,3.3
1102,4.7
1103,1.02
1104,1.66
1108,0.65
1109,2.52
1110,0.25
1201,1.0
1203,1.88
1210,2.32
1213,-1.67
1215,5.06
1216,3.5
1217,0.41
1218,1.22
1219,1.0
1220,1.0
1225,2.07
1227,2.7
1229,2.92
1231,4.03
1232,7.76
1233,0.48
1234,1.98
1235,0.81
1236,-0.25
1256,20.94
1301,11.21
1303,10.25
1304,4.84
1305,4.25
1307,0.29
1308,5.22
1309,4.89
1310,0.2
1312,6.47
1313,1.66
1314,1.09
1315,0.04
1316,-0.5
1319,1.16
1321,1.45
1323,3.04
1324,0.01
1325,3.26
1326,6.56
1337,-1.71
1338,4.04
1339,1.83
1340,-3.35
1341,5.99
1402,1.94
1409,2.41
1410,1.29
1413,0.8
1414,0.65
1416,0.44
1417,0.51
1418,-3.1
1419,1.51
1423,1.11
1432,-2.05
1434,1.27
1435,0.05
1436,5.08
1437,2.25
1438,0.57
1439,1.39
1440,1.77
1441,-0.75
1442,1.41
1443,1.65
1444,0.68
1445,-0.19
1446,-0.12
1447,0.31
1449,0.83
1451,1.23
1452,2.65
1453,1.05
1454,0.04
1455,1.73
1456,4.85
1457,0.9
1459,2.01
1460,0.39
1463,0.49
1464,0.48
1465,-0.93
1466,1.6
1467,-0.13
1468,0.06
1470,0.76
1471,-0.12
1472,-1.22
1473,-0.92
1474,1.11
1475,3.66
1476,18.77
1477,11.2
1503,3.46
1504,2.38
1506,0.26
1507,1.89
1512,-0.65
1513,4.19
1514,1.6
1515,5.8
1516,1.72
1517,2.0
1519,1.11
1521,1.08
1522,0.62
1524,0.38
1525,4.18
1526,4.38
1527,3.37
1528,1.14
1529,1.03
1530,1.35
1531,0.94
1532,3.22
1533,0.88
1535,3.26
1536,1.23
1537,7.58
1538,-5.13
1539,1.35
1540,-0.04
1541,3.8
1558,8.68
1560,4.78
1568,0.29
1582,2.03
1583,3.3
1587,1.49
1589,1.95
1590,33.67
1598,3.48
1603,1.78
1604,4.52
1605,4.27
1608,3.27
1609,2.3
1611,0.86
1612,8.54
1614,1.42
1615,3.27
1616,0.5
1617,1.45
1618,1.04
1626,-2.11
1701,1.74
1702,4.32
1707,8.81
1708,2.69
1709,1.99
1710,1.03
1711,0.86
1712,2.19
1713,1.04
1714,0.72
1717,2.86
1718,0.0
1720,3.95
1721,-0.38
1722,3.1
1723,4.73
1725,1.76
1726,5.45
1727,1.86
1730,4.14
1731,1.24
1732,0.46
1733,2.03
1734,-0.23
1735,0.1
1736,0.13
1737,1.97
1760,1.32
1762,5.17
1773,8.08
1776,2.05
1783,1.21
1786,1.54
1789,0.31
1795,5.5
1802,3.95
1805,-0.34
1806,2.29
1808,4.26
1809,0.25
1810,3.33
1817,3.07
1903,0.32
1904,3.58
1905,0.45
1906,1.22
1907,3.13
1909,1.84
2002,4.02
2006,5.95
2007,0.02
2008,0.21
2009,1.18
2010,1.88
2012,2.81
2013,2.49
2014,4.42
2015,6.94
2017,1.98
2020,3.52
2022,0.89
2023,2.75
2024,1.47
2025,0.98
2027,5.76
2028,5.11
2029,3.94
2030,4.29
2031,8.62
2032,1.28
2033,0.18
2034,2.86
2038,2.54
2049,10.36
2059,21.75
2062,2.48
2069,4.73
2101,-0.29
2102,-5.11
2103,4.76
2104,3.5
2105,1.63
2106,1.01
2107,2.27
2108,14.92
2109,1.3
2114,12.42
2115,4.02
2201,4.82
2204,7.67
2206,2.3
2207,29.68
2208,0.02
2227,10.09
2228,3.14
2231,4.23
2233,9.01
2236,1.47
2239,5.64
2243,-1.82
2301,6.01
2302,0.51
2303,4.57
2305,0.06
2308,10.32
2311,7.91
2312,0.01
2313,4.31
2314,-1.97
2316,2.94
2317,10.05
2321,0.12
2323,0.14
